"Excel row","Organisation","Department","Duplicate of row","Department UUID","Organisation UUID","Outcome","Changed fields","Blank fields preserved","address_line_1","address_line2","address_line_3","address_town_city","address_county","address_post_code","phone_number"
"226","Southampton General Hospital","Nuclear Medicine Stand Alone","","a744f9a8-a504-48f5-ad5f-9b9591561842","26fde922-6cef-42d9-99ee-a0fdc29d72a1","Updated and verified","address_line_1; address_line2; address_line_3; address_town_city; address_post_code; phone_number","address_county","Mailpoint 26","D Level, Centre Block","Tremona Road","Southampton","","SO16 6YD","023 8120 6627"
"227","Southend University Hospital","Nuclear Medicine Stand Alone","","43ac3e61-7f75-4fb0-8da3-2bc3991cc127","eb007411-7cfa-463b-a085-0b6ee8b9fdf5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Prittlewell Chase","","","Westcliff-on-Sea","Essex","SS0 0RY",""
"228","Southend University Hospital","Radiopharmacy","","d79eea9d-85ec-47c7-a72d-169de2c0f6da","eb007411-7cfa-463b-a085-0b6ee8b9fdf5","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Prittlewell Chase","","","Westcliff-on-Sea","Essex","SS0 0RY",""
"229","Southmead Hospital","Nuclear Medicine Stand Alone","","5e6c0755-3e40-4de6-82b7-74f96dd76389","592b3af9-b805-422e-ad95-5bf28d8cde4a","Updated and verified","address_line_1; address_line2; address_town_city; address_post_code","address_line_3; address_county; phone_number","Southmead Road","Westbury-on-Trym","","Bristol","","BS10 5NB",""
"230","St Bartholomew's Hospital","Nuclear Medicine Stand Alone","","5e32819e-67ee-4c31-8542-0c827332679f","1194b295-a383-402b-a637-b7c9aadd1cf5","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","West Smithfield","","","London","","EC1A 7BE",""
"231","St Bartholomew's Hospital","PET Centre","","7e3ef7db-42af-44ca-97fc-8972b4b66c13","1194b295-a383-402b-a637-b7c9aadd1cf5","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","West Smithfield","","","London","","EC1A 7BE",""
"232","St Bartholomew's Hospital","Radiopharmacy","","a3fc6746-460b-4a3b-a871-83cd8f7e243b","1194b295-a383-402b-a637-b7c9aadd1cf5","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","West Smithfield","","","London","","EC1A 7BE",""
"233","St David's Hospital","Radiology based Nuclear Medicine","","05c225db-0383-4a7f-a999-40a6c5ffe64b","f925057f-2474-4c87-ad94-5983e79f3ed5","Updated and verified","address_line_1; address_line2; address_town_city; address_post_code","address_line_3; address_county; phone_number","Cowbridge Road East","Canton","","Cardiff","","CF11 9XB",""
"234","St George's Hospital","Radiology based Nuclear Medicine","","a23cb64f-5bbe-4728-90a0-0b3cae3ee960","9d400268-bedb-4f32-8616-8d2e21e344ec","Updated and verified","address_line_1; address_line2; address_town_city; address_post_code","address_line_3; address_county; phone_number","Blackshaw Road","Tooting","","London","","SW17 0QT",""
"235","St George's Hospital","Radiopharmacy","","c3125b87-f9c9-45eb-87d3-9f4a12a841be","9d400268-bedb-4f32-8616-8d2e21e344ec","Updated and verified","address_line_1; address_line2; address_town_city; address_post_code","address_line_3; address_county; phone_number","Blackshaw Road","Tooting","","London","","SW17 0QT",""
"236","St Helier Hospital","Nuclear Medicine Stand Alone","","c730192c-7a43-4d3a-9fe0-df1514abb134","9370c7c8-d994-4fb2-b1b6-89f721c155f3","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Wrythe Lane","","","Carshalton","Surrey","SM5 1AA",""
"237","St James's University Hospital","Radiopharmacy","","0c8f1d26-9030-48d5-8f04-5f2307add4e0","4c006135-241d-4b7f-b755-10d7066b9d20","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Beckett Street","","","Leeds","West Yorkshire","LS9 7TF",""
"238","St James's University Hospital","Radiology based Nuclear Medicine","","b3589bdf-9fab-4d68-b1c7-bf0dcd26f573","4c006135-241d-4b7f-b755-10d7066b9d20","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Beckett Street","","","Leeds","West Yorkshire","LS9 7TF",""
"239","St Mary's Hospital (London)","Radiopharmacy","","34f7a2ca-3432-43d9-bf02-56f93f504bc3","efabeb87-8759-4243-8bc3-5d5c9cdb11b7","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Praed Street","","","London","","W2 1NY",""
"240","St Mary's Hospital (London)","Radiology based Nuclear Medicine","","58b20719-5d46-495c-be7b-603901c319be","efabeb87-8759-4243-8bc3-5d5c9cdb11b7","Updated and verified","address_line_1; address_town_city; address_post_code","address_line2; address_line_3; address_county; phone_number","Praed Street","","","London","","W2 1NY",""
"241","St Peter's Hospital","Radiology based Nuclear Medicine","","5381cb9a-fd08-4b6b-8507-ceccf6cada0c","4f5b6a3c-927c-41a3-aba3-6fa8a98736ea","Updated and verified","address_line_1; address_town_city; address_county; address_post_code","address_line2; address_line_3; phone_number","Guildford Road","","","Chertsey","Surrey","KT16 0PZ",""
