"Organisation Name","Organisation UUID","Department Name","Department UUID"
"Molecular Imaging Centre","cce4fdcd-bf7b-41cc-8903-4c9bd1395dd0","PET Centre","7ceb69e2-741d-47b1-b3e1-3e7bb6cd4f90"
"Morriston Hospital Swansea","18d46505-865b-4c3d-898e-1691b797688a","Radiology based Nuclear Medicine","8d771f15-02d4-4895-9e27-ced44f438c78"
"Mount Vernon Cancer Centre","68408876-931b-4306-bdf2-c5b79a6690b3","Radiopharmacy","05184011-0d5e-4ba8-82af-beab61b437a9"
"Mount Vernon Hospital","c59f6ae5-c7e5-49a9-b94c-e3e044cc55b5","Nuclear Medicine Stand Alone","478c448e-3b67-4dac-bdbc-9dc40189fa09"
"Musgrove Park Hospital","cbc2dc44-ac46-4459-b7f0-2c6c9ce8b9c9","Nuclear Medicine - Physics based","6553ec38-f4e8-4877-91e9-94defc639fb0"
"Musgrove Park Hospital","cbc2dc44-ac46-4459-b7f0-2c6c9ce8b9c9","Radiopharmacy","a384ebf4-1968-4cb5-bba3-8453f9bff462"
"Nevill Hall Hospital Abergavenny","81a12845-581d-4487-b117-1d031bd3c25b","Radiology based Nuclear Medicine","1edc5ea0-f97b-4642-91e9-4dd117d54c48"
"New Cross Hospital","59c029cd-c466-478c-b4d0-36fcbfc9ecb2","Nuclear Medicine - Physics based","f06a49b7-3e33-44cf-8631-0383f17c9178"
"New Cross Hospital","59c029cd-c466-478c-b4d0-36fcbfc9ecb2","Radiopharmacy","7d38a8d3-9848-4021-9584-4cd6a762302c"
"Newham Hospital","f6c10aaf-0c0a-47fd-b208-0a2def7cdee0","Radiology based Nuclear Medicine","eed52f2a-20d3-489f-8146-bb1e7742263c"
"Ninewells Hospital","40fe310b-015c-4570-ae13-0f3b54a0329c","Nuclear Medicine Stand Alone","26327362-f80e-4180-89ae-0e019da63d63"
"Ninewells Hospital","40fe310b-015c-4570-ae13-0f3b54a0329c","Radiopharmacy","a996c109-2b7e-4269-9460-9b1ea71bb614"
"Noble's Hospital","5b40de14-85d4-49e4-9ba4-5c51489323d7","Radiology based Nuclear Medicine","6ad3668e-50e7-4f68-bab4-2e61784b5b78"
"Noble's Hospital","5b40de14-85d4-49e4-9ba4-5c51489323d7","Radiopharmacy","e4f642c7-3e8d-48ee-bf2d-741d8ab2e44c"
"Norfolk & Norwich University Hospital","27bf2b55-b8d8-4044-8daf-7576e1c46811","Radiopharmacy","7a084f8e-3672-40ab-bb94-d52fa3226110"
"Norfolk and Norwich University Hospital","df4cdbb6-5445-4aa8-b8a1-66b55f444cf2","Nuclear Medicine Stand Alone","a7377637-c683-461e-80c4-a0d62fa7ecaa"
"North Manchester General Hospital","416743d6-1cc0-47cb-96cd-c4a88534c41c","Radiology based Nuclear Medicine","94296436-87cf-4198-a53b-62db95cd735e"
"North Middlesex University Hospital","6a1ba72a-6607-4931-aa3a-ee6c1e612c98","Nuclear Medicine Stand Alone","c1d03f4b-db80-4f60-8d9a-fde47a973b4e"
"Northampton General Hospital","dc0b184a-5281-4ba7-99f4-3472ff1f24cd","Nuclear Medicine Stand Alone","0aa5e702-1240-4aac-a4f3-f5d0aff4c1d2"
"Northampton General Hospital","dc0b184a-5281-4ba7-99f4-3472ff1f24cd","Radiopharmacy","5379efa6-4e5f-4fba-8c5a-fac0679566d4"
"Northern General Hospital","530b06c6-2642-486a-9733-ec28ed08d825","Nuclear Medicine - Physics based","42ff2358-a27e-4abd-92df-6f6a3f406819"
"Northern General Hospital","530b06c6-2642-486a-9733-ec28ed08d825","Radiopharmacy","cff206cf-93fb-4aa8-9884-8730673b60d2"
"Northern Ireland Cancer Centre","2f95a188-81db-40da-a375-bf24acff707b","Nuclear Medicine - Physics based","c97d2a31-2bed-453c-abc4-644bc0898bf7"
"Northern Ireland Cancer Centre","2f95a188-81db-40da-a375-bf24acff707b","PET Centre","12fb0601-2d8b-4444-a17d-ddca2613135b"
"Northwick Park Hospital","07ecdf5e-beea-4dea-a397-c9b9f1229f0b","Radiology based Nuclear Medicine","24130a8e-1a60-4cc4-b4e6-cf5280bfa245"
"Northwick Park Hospital","07ecdf5e-beea-4dea-a397-c9b9f1229f0b","Radiopharmacy","9cad0de3-343a-4054-ab0e-27ef5b213f49"
"Nottingham City Hospital","2805f4d0-7beb-40b5-b7a4-b87d951ee693","Nuclear Medicine - Physics based","ec0fa664-e48b-43c6-af05-51bef7a623d4"
"Osun State University","9a14d41c-7004-418b-af71-d4bc5ca53b02","",""
"Parkside Hospital","5d37f624-1883-473e-afd2-39f43cf533af","Nuclear Medicine Stand Alone","1acceeb8-3bd8-4aaf-a562-e8641d55eefb"
"Perceptive Discovery – London Imaging Centre","b1ab2cdf-15cb-4ec8-9911-fc2caffd8273","PET Centre","7abf9a4c-ea1c-4648-8b17-6accdde64b69"
"Perth Royal Infirmary","bfcc3f1d-09fb-4f08-abcd-31030173c187","Nuclear Medicine Stand Alone","f3cb59b2-cde3-4ec9-acec-5965ded6f97b"
"Peterborough City Hospital","f244e3e8-3de0-4b74-ac3e-d4b151b166cf","Nuclear Medicine Stand Alone","8959439d-52b0-49b7-97c0-0d60113f3e63"
"Poole Hospital","d07d0e2c-a8a0-435c-8c1f-be275a05bc7d","Nuclear Medicine Stand Alone","84188c83-b53c-45e6-abfe-67a45d2ea77b"
