submission_id,created_date,applicant_name,applicant_email,extracted_org_name,missing_reason,matched_existing_org_id,matched_existing_org_name
39dea4f8-d8c6-4d27-ab86-b51c55179cb2,2026-03-18T12:56:59.435+00:00,,,STREET CHILDREN EMPOWERMENT FOUNDATION,organization_id is NULL,,
5f4b8db8-ed2d-43cb-a04a-d9ae919597a9,2026-03-18T14:33:33.011+00:00,,,Aga khan Academy Maputo,organization_id is NULL,,
819ea59a-3201-49de-a9f8-4829a99ca702,2026-03-19T07:46:27.972+00:00,,,Bible Translation and Literacy E.A,organization_id is NULL,,
552555e8-4cde-4732-8b6f-6dc4c8264ecf,2026-03-19T08:40:33.697+00:00,,,Centre National de Recherche Agronomique (CNRA),organization_id is NULL,,
06bcae2b-5f7f-40e4-b987-6377136d3ca7,2026-03-19T09:14:57.728+00:00,,,University of Nairobi,organization_id is NULL,,
9ca1ed4f-893b-432b-8e60-58629640adb6,2026-03-19T14:44:13.852+00:00,,,Apostolic Voice Education Trust,organization_id is NULL,,
f43f967a-27b7-450e-abca-cbe4e461fada,2026-03-19T20:34:10.406+00:00,,,University of Embu,organization_id is NULL,,
99e26d38-75f5-414d-a2bd-8d9b23ef84a5,2026-03-19T20:41:29.385+00:00,,,Rays of Hope Ministries,organization_id is NULL,,
b8f9cbb8-d3fc-4311-96df-6a811ea44414,2026-03-20T09:54:48.845+00:00,,,Educational Initiatives Pvt. Ltd.,organization_id is NULL,,
e68773b7-afd5-4c84-910e-4b5b94f2c431,2026-03-20T11:21:42.45+00:00,,,RAJAPI COP SENEGAL,organization_id is NULL,,
c3eba49c-be14-4878-a26c-080533b7af47,2026-03-20T15:56:50.424+00:00,,,Faculté de Sciences et Technologies de l'Education et de la Formation Université Cheikh Anta Diop de Dakar,organization_id is NULL,,
30c4fcd7-76e8-4503-9855-b3ce1c5dc394,2026-03-20T18:56:57.405+00:00,,,RADED (Réseau Africain pour le Développement Durable),organization_id is NULL,,
b5f3cfdb-cb87-4c83-a6bb-aa520e1fb807,2026-03-21T17:26:32.593+00:00,,,Headstone Ministries Uganda,organization_id is NULL,,
4c144f6a-c424-495b-a569-297c503695d9,2026-03-22T07:50:10.133+00:00,,,Ubuntu Universe,organization_id is NULL,,
ae93c2a2-1599-4ed6-a4ae-cfc79ec7e23b,2026-03-22T14:38:26.449+00:00,,,Atekok Foundation Africa,organization_id is NULL,,
d8d7b8c3-f30b-480c-b76c-11554e4ce481,2026-03-22T15:17:51.327+00:00,,,Ananse Learning,organization_id is NULL,,
